id,name,party,sector,type
Baerbock ,Annalena Baerbock ,GREEN,Politik,1
Dunz,Kristina Dunz,N.A.,Journalismus,1
Habeck ,Robert Habeck ,GREEN,Politik,1
Kiesewetter,Roderich Kiesewetter,CDU,Politik,1
Klingbeil,Lars Klingbeil,SPD,Politik,1
Lambsdorff,Alexander Graf Lambsdorff,FDP,Politik,1
Levits,Egils Levits,N.A.,Politik,1
Lindner,Christian Lindner,FDP,Politik,1
Major,Claudia Major,N.A.,Wissenschaft,1
L. Melnyk,Ljudmyla Melnyk,N.A.,Wissenschaft,1
Petrowskaja,Katja Petrowskaja,N.A.,Journalismus,1
Ramms,Egon Ramms,N.A.,Military,1
Röttgen,Norbert Röttgen,CDU,Politik,1
Schlögel,Karl Schlögel,N.A.,Experte,1
Stelzenmüller,Constanze Stelzenmüller,N.A.,Journalismus,1
Timmermans,Frans Timmermans,N.A.,Politik,1
von der Leyen,Ursula von der Leyen,CDU,Politik,1
Wagenknecht,Sarah Wagenknecht,Die Linke,Politik,1
Lambrecht,Christine Lambrecht,SPD,Politik,1
Babst,Setfanie Babst,N.A.,Wirtschaft,1
Heusgen,Christop Heusgen,N.A.,Politik,1
Weisband,Marina Weisband,N.A.,Journalismus,1
Scholz,Olaf Scholz,SPD,Politik,1
A. Melnyk,Andrij Melnyk,N.A.,Politik,1